Epoch,TrainRMSE,TestRMSE
0,127.789,186.355
1,127.539,186.006
2,127.283,185.641
3,127.04,185.302
4,126.775,184.922
5,126.538,184.59
6,126.302,184.261
7,125.956,183.754
8,125.708,183.401
9,125.481,183.086
10,125.252,182.767
11,125.029,182.461
12,124.808,182.156
13,124.589,181.855
14,124.367,181.549
15,124.149,181.253
16,123.933,180.959
17,123.718,180.667
18,123.505,180.375
19,123.292,180.089
20,123.08,179.803
21,122.871,179.525
22,122.661,179.241
23,122.451,178.955
24,122.244,178.674
25,122.039,178.4
26,121.834,178.13
27,121.628,177.85
28,121.424,177.58
29,121.221,177.312
30,121.019,177.044
31,120.76,176.645
32,120.56,176.382
33,120.36,176.121
34,120.162,175.86
35,119.964,175.602
36,119.768,175.345
37,119.571,175.085
38,119.377,174.832
39,119.179,174.567
40,118.985,174.316
41,118.792,174.065
42,118.597,173.81
43,118.403,173.553
44,118.212,173.306
45,118.021,173.06
46,117.828,172.807
47,117.638,172.56
48,117.45,172.316
49,117.261,172.074
50,117.074,171.832
51,116.887,171.59
52,116.702,171.357
53,116.515,171.116
54,116.326,170.865
55,116.132,170.606
56,115.946,170.371
57,115.762,170.138
58,115.578,169.899
59,115.396,169.669
60,115.213,169.432
61,115.019,169.167
62,114.839,168.94
63,114.658,168.713
64,114.476,168.472
65,114.292,168.23
66,114.113,168.006
67,113.931,167.771
68,113.754,167.55
69,113.577,167.331
70,113.399,167.11
71,113.222,166.889
72,113.046,166.667
73,112.798,166.308
74,112.623,166.092
75,112.448,165.875
76,112.274,165.661
77,112.101,165.446
78,111.928,165.231
79,111.755,165.016
80,111.584,164.806
81,111.413,164.591
82,111.243,164.38
83,111.073,164.17
84,110.903,163.96
85,110.734,163.75
86,110.563,163.532
87,110.394,163.321
88,110.226,163.113
89,110.058,162.904
90,109.892,162.697
91,109.726,162.489
92,109.56,162.284
93,109.394,162.077
94,109.228,161.863
95,109.059,161.636
96,108.895,161.432
97,108.731,161.229
98,108.563,161.01
99,108.399,160.8
100,108.237,160.595
101,108.075,160.396
102,107.913,160.198
103,107.753,159.998
104,107.59,159.79
105,107.428,159.592
106,107.269,159.396
107,107.109,159.199
108,106.951,159.004
109,106.792,158.804
110,106.633,158.606
111,106.475,158.41
112,106.318,158.215
113,106.162,158.02
114,106.005,157.819
115,105.85,157.628
116,105.693,157.438
117,105.539,157.248
118,105.384,157.053
119,105.229,156.857
120,105.067,156.644
121,104.914,156.457
122,104.76,156.266
123,104.596,156.052
124,104.443,155.862
125,104.293,155.675
126,104.142,155.49
127,103.991,155.307
128,103.842,155.122
129,103.693,154.941
130,103.544,154.758
131,103.395,154.574
132,103.235,154.365
133,103.087,154.185
134,102.939,154.003
135,102.792,153.819
136,102.646,153.639
137,102.501,153.46
138,102.355,153.281
139,102.209,153.093
140,102.065,152.918
141,101.92,152.742
142,101.777,152.572
143,101.634,152.398
144,101.491,152.223
145,101.347,152.043
146,101.205,151.87
147,101.063,151.692
148,100.92,151.51
149,100.779,151.338
150,100.638,151.166
151,100.499,150.999
152,100.36,150.825
153,100.221,150.657
154,100.083,150.489
155,99.9418,150.307
156,99.802,150.13
157,99.6647,149.962
158,99.5268,149.794
159,99.3901,149.627
160,99.2546,149.461
161,99.1191,149.295
162,98.9847,149.135
